,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,kakao_keyword,kakao_map_url,kakao_store_name,kakao_star_point,kakao_star_point_qty,kakao_blog_review_txt,kakao_blog_review_qty
88,수라간,한식,한식/백반/한정식,한식 음식점업,진잠동,36.2951515890577,127.300177348958,한식한식 백반 한정식한식 음식점업,진잠동%20수라간,https://place.map.kakao.com/22785784,수라간,5.0,1.0,,10.0
89,파리바게뜨관저느리울점,제과제빵떡케익,제과점,제과점업,관저2동,36.2999694155432,127.344002483848,제과제빵떡케익제과점제과점업,관저2동%20파리바게뜨관저느리울점,https://place.map.kakao.com/8116547,파리바게뜨 관저느리울점,3.7,3.0,,0.0
90,김삿갓식당,한식,한식/백반/한정식,한식 음식점업,신탄진동,36.4478608788735,127.433250513326,한식한식 백반 한정식한식 음식점업,신탄진동%20김삿갓식당,https://place.map.kakao.com/21299249,김삿갓,3.0,1.0,1.주변 주차 힘듬  2.내부 분위기 청결한 느낌이부족 3.메뉴는 많은데 안된다고 하는 메뉴있고 시간 걸림 4.메인메뉴맛은 평범하고  오뎅은 괜찬은편 결론 : 일부러 찾아가긴 그렇고 비오고 막걸리 땡길땐 가끔            갈만한곳,2.0
91,누이영양탕,닭/오리요리,삼계탕전문,한식 음식점업,도마1동,36.3197132454193,127.373761890733,닭 오리요리삼계탕전문한식 음식점업,도마1동%20누이영양탕,https://place.map.kakao.com/16123083,누이식당,2.0,1.0,삼계탕은 그녕그냥... 영양탕은 못막어서 패스-,0.0
92,백팔번집,한식,갈비/삼겹살,한식 음식점업,가수원동,36.3189645083785,127.343397883327,한식갈비 삼겹살한식 음식점업,가수원동%20백팔번집,https://place.map.kakao.com/27241688,백팔번집 대전도안점,2.0,1.0,,0.0
93,모모갈비식당,한식,갈비/삼겹살,한식 음식점업,효동,36.3116725843099,127.458335614969,한식갈비 삼겹살한식 음식점업,효동%20모모갈비식당,https://place.map.kakao.com/12574623,모모갈비,2.0,1.0,,0.0
94,태평수산,일식/수산물,수산물전문음식점-종합,한식 음식점업,태평1동,36.3250677226951,127.398533770786,일식 수산물수산물전문음식점-종합한식 음식점업,태평1동%20태평수산,https://place.map.kakao.com/8565240,태평수산,2.0,1.0,,3.0
95,효성각식당,중식,중국음식/중국집,중식 음식점업,도마1동,36.310466601168,127.38421420515,중식중국음식 중국집중식 음식점업,도마1동%20효성각식당,https://place.map.kakao.com/16110366,효성각,1.0,1.0,요즘은 중국집도 짜장면 1인분은 배달을 할 수가 없다네요. ,0.0
96,카페비요리,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대흥동,36.3256813205243,127.422441842522,커피점 카페커피전문점 카페 다방비알콜 음료점업,대흥동%20카페비요리,https://place.map.kakao.com/16012436,카페비요리,3.8,5.0,다양한 소품들 구경하는 재미가 있어요,6.0
97,숯고을,한식,한식/백반/한정식,한식 음식점업,관평동,36.4234184338525,127.390973622161,한식한식 백반 한정식한식 음식점업,관평동%20숯고을,https://place.map.kakao.com/17214471,숯고을,4.0,1.0,제주도 흑돼지 전문인듯ᆢ 돼지양념갈비 추천이요ᆢ,14.0
98,배재대장패,한식,기타고기요리,한식 음식점업,도마1동,36.3219293008051,127.373565967326,한식기타고기요리한식 음식점업,도마1동%20배재대장패,https://place.map.kakao.com/26312795,장패 배재대점,4.0,1.0,,4.0
99,소정이네칼국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,판암2동,36.3210278624889,127.450486035555,분식국수 만두 칼국수분식 및 김밥 전문점,판암2동%20소정이네칼국수,https://place.map.kakao.com/18552882,소정이네칼국수,4.0,1.0,,0.0
100,조마루뼈다귀,한식,해장국/감자탕,한식 음식점업,관저2동,36.3011655307421,127.340262498492,한식해장국 감자탕한식 음식점업,관저2동%20조마루뼈다귀,https://place.map.kakao.com/10803881,조마루 관저점,3.0,4.0,벌레나왔는데 걍 대강 먹고 담부터 절대안가여. ,2.0
101,조마루뼈다귀,한식,해장국/감자탕,한식 음식점업,신탄진동,36.4520409330621,127.429114765068,한식해장국 감자탕한식 음식점업,신탄진동%20조마루뼈다귀,https://place.map.kakao.com/17816499,조마루 신탄점,4.0,1.0,양호,1.0
102,토담골도예촌식당,한식,한식/백반/한정식,한식 음식점업,용운동,36.3262602519931,127.461509212703,한식한식 백반 한정식한식 음식점업,용운동%20토담골도예촌식당,https://place.map.kakao.com/8628703,토담골도예촌,4.0,1.0,,0.0
103,현암한우해장국,한식,해장국/감자탕,한식 음식점업,탄방동,36.3483981687761,127.39615961014,한식해장국 감자탕한식 음식점업,탄방동%20현암한우해장국,https://place.map.kakao.com/2041594701,현암한우해장국,5.0,4.0,너무맛있어요!,0.0
104,칼국수를만드는사람들,분식,국수/만두/칼국수,분식 및 김밥 전문점,둔산1동,36.3532862626894,127.387955005742,분식국수 만두 칼국수분식 및 김밥 전문점,둔산1동%20칼국수를만드는사람들,https://place.map.kakao.com/16221233,칼국수만드는사람들,3.7,29.0,딱 영업장 맛! 엄청 달고 엄청 짜고 칼국수는 국물을 못먹을 정도로 짬 매우매우 자극적인 맛임,45.0
105,김밥도둑월평,분식,라면김밥분식,분식 및 김밥 전문점,월평2동,36.3627642949419,127.376893766973,분식라면김밥분식분식 및 김밥 전문점,월평2동%20김밥도둑월평,https://place.map.kakao.com/16123095,김밥도둑 월평점,1.0,1.0,먹어 본 김밥 중에 가장 맛이 없습니다.. 도둑 김밥은 참치랑 김치랑 섞은건데 왜 판매하는건가 싶게 맛이 없습니다. 평소에 그냥 밥에 참치랑 김치를 먹어도 맛있는걸 이 집에서 만든건 왜 이렇게 맛이 없는지 모르겠네요. 원조 김밥은 먹는 내내 기본 재료만 넣어서 김밥을 말았는데도 이렇게 맛이 없을 수 있나 하는 생각 밖에 안들었네요. 원조 김밥이 맛이 없으면...,2.0
106,불광동숯불바베큐식당,양식,바베큐전문,서양식 음식점업,용운동,36.326305437582,127.447709066046,양식바베큐전문서양식 음식점업,용운동%20불광동숯불바베큐식당,https://place.map.kakao.com/9062036,불광동 치킨호프 용운점,1.0,1.0,,0.0
107,비에치시치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,온천1동,36.3498452553929,127.332721700614,닭 오리요리후라이드 양념치킨치킨 전문점,온천1동%20비에치시치킨,https://place.map.kakao.com/19155028,BHC치킨 대전상대점,4.3,4.0,너무 맛있고 서비스 최고입니다:),2.0
108,커피랜드,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,오정동,36.3560916580752,127.40813365566,커피점 카페커피전문점 카페 다방비알콜 음료점업,오정동%20커피랜드,https://place.map.kakao.com/1330530037,커피랜드,4.3,4.0,,0.0
109,한일닭집식당,닭/오리요리,후라이드/양념치킨,치킨 전문점,덕암동,36.4345857444023,127.423855564374,닭 오리요리후라이드 양념치킨치킨 전문점,덕암동%20한일닭집식당,https://place.map.kakao.com/10113084,한일치킨,4.7,6.0,,1.0
110,참치정육점,일식/수산물,참치전문점,일식 음식점업,효동,36.3062679005161,127.456981114707,일식 수산물참치전문점일식 음식점업,효동%20참치정육점,https://place.map.kakao.com/21537482,참치정육점식당,4.5,2.0,첫 참치집 ,0.0
111,가츠애,중식,중국음식/중국집,중식 음식점업,관저2동,36.2984204971447,127.339316969932,중식중국음식 중국집중식 음식점업,관저2동%20가츠애,https://place.map.kakao.com/24529620,가츠애 관저직영점,5.0,1.0,여기 돈까스덮밥 맛있어요,3.0
112,포동이삼겹살,한식,갈비/삼겹살,한식 음식점업,오정동,36.3513491924555,127.418765048565,한식갈비 삼겹살한식 음식점업,오정동%20포동이삼겹살,https://place.map.kakao.com/10881815,포동이삼겹살식당,4.5,2.0,나만알고싶은집,1.0
113,바오밥나무,한식,한식/백반/한정식,한식 음식점업,온천2동,36.3609764982382,127.349218246567,한식한식 백반 한정식한식 음식점업,온천2동%20바오밥나무,https://place.map.kakao.com/26013481,바오밥나무,3.3,8.0,초심 잃었음..,14.0
114,또순이식당,한식,한식/백반/한정식,한식 음식점업,대흥동,36.323943160011,127.420839726676,한식한식 백반 한정식한식 음식점업,대흥동%20또순이식당,https://place.map.kakao.com/12195788,또순이식당,3.3,8.0,,0.0
115,한모둠순대국설악추어탕유성점,별식/퓨전요리,순대전문점,한식 음식점업,온천2동,36.3614326755908,127.343643038849,별식 퓨전요리순대전문점한식 음식점업,온천2동%20한모둠순대국설악추어탕유성점,https://place.map.kakao.com/13270702,한모둠순대국 유성점,3.3,8.0,,0.0
